class;classWithNamespace;file;type
Conversions;"SourcePot\Datapool\Traits\Conversions";D:/xampp/htdocs/www-workspace/datapool/src/php/Traits/Conversions.php;Trait
Processor;"SourcePot\Datapool\Interfaces\Processor";D:/xampp/htdocs/www-workspace/datapool/src/php/Interfaces/Processor.php;Interface
Receiver;"SourcePot\Datapool\Interfaces\Receiver";D:/xampp/htdocs/www-workspace/datapool/src/php/Interfaces/Receiver.php;Interface
Sender;"SourcePot\Datapool\Interfaces\Sender";D:/xampp/htdocs/www-workspace/datapool/src/php/Interfaces/Sender.php;Interface
MiscTools;"SourcePot\Datapool\Tools\MiscTools";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/MiscTools.php;"Kernal object"
Access;"SourcePot\Datapool\Foundation\Access";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Access.php;"Kernal object"
Filespace;"SourcePot\Datapool\Foundation\Filespace";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Filespace.php;"Kernal object"
Backbone;"SourcePot\Datapool\Foundation\Backbone";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Backbone.php;"Kernal object"
Database;"SourcePot\Datapool\Foundation\Database";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Database.php;"Kernal object"
Definitions;"SourcePot\Datapool\Foundation\Definitions";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Definitions.php;"Kernal object"
Dictionary;"SourcePot\Datapool\Foundation\Dictionary";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Dictionary.php;"Kernal object"
HTMLbuilder;"SourcePot\Datapool\Tools\HTMLbuilder";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/HTMLbuilder.php;"Kernal object"
Logging;"SourcePot\Datapool\Foundation\Logging";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Logging.php;"Kernal object"
User;"SourcePot\Datapool\Foundation\User";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/User.php;"Kernal object"
Container;"SourcePot\Datapool\Foundation\Container";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Container.php;"Kernal object"
DataExplorer;"SourcePot\Datapool\Foundation\DataExplorer";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/DataExplorer.php;"Kernal object"
Element;"SourcePot\Datapool\Foundation\Element";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Element.php;"Kernal object"
Explorer;"SourcePot\Datapool\Foundation\Explorer";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Explorer.php;"Kernal object"
Haystack;"SourcePot\Datapool\Foundation\Haystack";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Haystack.php;"Kernal object"
Job;"SourcePot\Datapool\Foundation\Job";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Job.php;"Kernal object"
Menu;"SourcePot\Datapool\Foundation\Menu";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Menu.php;"Kernal object"
Toolbox;"SourcePot\Datapool\Foundation\Toolbox";D:/xampp/htdocs/www-workspace/datapool/src/php/Foundation/Toolbox.php;"Kernal object"
CSVtools;"SourcePot\Datapool\Tools\CSVtools";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/CSVtools.php;"Kernal object"
Email;"SourcePot\Datapool\Tools\Email";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/Email.php;"Kernal object"
ExifTools;"SourcePot\Datapool\Tools\ExifTools";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/ExifTools.php;"Kernal object"
GeoTools;"SourcePot\Datapool\Tools\GeoTools";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/GeoTools.php;"Kernal object"
LoginForms;"SourcePot\Datapool\Tools\LoginForms";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/LoginForms.php;"Kernal object"
MediaTools;"SourcePot\Datapool\Tools\MediaTools";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/MediaTools.php;"Kernal object"
NetworkTools;"SourcePot\Datapool\Tools\NetworkTools";D:/xampp/htdocs/www-workspace/datapool/src/php/Tools/NetworkTools.php;"Kernal object"
CalcEntries;"SourcePot\Datapool\Processing\CalcEntries";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/CalcEntries.php;"Kernal object"
CanvasProcessing;"SourcePot\Datapool\Processing\CanvasProcessing";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/CanvasProcessing.php;"Kernal object"
CanvasTrigger;"SourcePot\Datapool\Processing\CanvasTrigger";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/CanvasTrigger.php;"Kernal object"
DelayEntries;"SourcePot\Datapool\Processing\DelayEntries";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/DelayEntries.php;"Kernal object"
InboxEntries;"SourcePot\Datapool\Processing\InboxEntries";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/InboxEntries.php;"Kernal object"
MapEntries;"SourcePot\Datapool\Processing\MapEntries";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/MapEntries.php;"Kernal object"
MatchEntries;"SourcePot\Datapool\Processing\MatchEntries";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/MatchEntries.php;"Kernal object"
OutboxEntries;"SourcePot\Datapool\Processing\OutboxEntries";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/OutboxEntries.php;"Kernal object"
ParseEntries;"SourcePot\Datapool\Processing\ParseEntries";D:/xampp/htdocs/www-workspace/datapool/src/php/Processing/ParseEntries.php;"Kernal object"
Home;"SourcePot\Datapool\Components\Home";D:/xampp/htdocs/www-workspace/datapool/src/php/Components/Home.php;"Application object"
Account;"SourcePot\Datapool\AdminApps\Account";D:/xampp/htdocs/www-workspace/datapool/src/php/AdminApps/Account.php;"Application object"
Admin;"SourcePot\Datapool\AdminApps\Admin";D:/xampp/htdocs/www-workspace/datapool/src/php/AdminApps/Admin.php;"Application object"
Settings;"SourcePot\Datapool\AdminApps\Settings";D:/xampp/htdocs/www-workspace/datapool/src/php/AdminApps/Settings.php;"Application object"
Calendar;"SourcePot\Datapool\GenericApps\Calendar";D:/xampp/htdocs/www-workspace/datapool/src/php/GenericApps/Calendar.php;"Application object"
Forum;"SourcePot\Datapool\GenericApps\Forum";D:/xampp/htdocs/www-workspace/datapool/src/php/GenericApps/Forum.php;"Application object"
Multimedia;"SourcePot\Datapool\GenericApps\Multimedia";D:/xampp/htdocs/www-workspace/datapool/src/php/GenericApps/Multimedia.php;"Application object"
Invoices;"SourcePot\Datapool\DataApps\Invoices";D:/xampp/htdocs/www-workspace/datapool/src/php/DataApps/Invoices.php;"Application object"
Sap;"SourcePot\Datapool\DataApps\Sap";D:/xampp/htdocs/www-workspace/datapool/src/php/DataApps/Sap.php;"Application object"
Unycom;"SourcePot\Datapool\DataApps\Unycom";D:/xampp/htdocs/www-workspace/datapool/src/php/DataApps/Unycom.php;"Application object"
Login;"SourcePot\Datapool\Components\Login";D:/xampp/htdocs/www-workspace/datapool/src/php/Components/Login.php;"Application object"
Logout;"SourcePot\Datapool\Components\Logout";D:/xampp/htdocs/www-workspace/datapool/src/php/Components/Logout.php;"Application object"
